,clean_text,spam
0,"Wow, what a view",0
1,Buy the Horizen (Zen) It’s the good  one,0
2,Not if only I knew which were the good ones  been holding $MINA for a while which I thought was a good one but quite frankly who knows now!!,0
3,how you feel about $KAS?,0
4,$vet?,0
5,I did that with $XRP just 10 days before it pumps ,0
6,Learnt this the hard lesson in the last bull market.,0
7,Wen $DCOIN (date coin) launch ser .. jk of course,0
8,Im a tinder swindler with all my coins,0
9,For sure don’t stay in dead project that why one of my favorite project is #Opulous they gonna do the first music fungible exchange that you can trade in real time.. pretty much like synthetic asset.. except for music royalty.. it should be online by September.. before Q4..,0
10,$hood?,0
11,Ahem… ADA fanbois… he means you guys.,0
13,About to propose to the one,0
14,What is your opinion about #Chainlink ?,0
16,marrying &gt;&gt; dating,0
17,"You should be dating your coins, not marrying them. Sell when you don't see a future with them ",0
18,"That may be true for shillers. Teams, on the other hand, should be married to their projects. You have @thetufteam team- building since June 2021 - that's two years! ",0
19,It took me awhile to make that first step. After that I'm less hesitant to act.,0
20,"i just trade it thats all , it keep things simple and easy",0
21,"Although cryptocurrency exchanges earn a lot of profits, they still face many difficulties and problems due to several factors that make them likely to go bankrupt.",0
23,Who does it better? Crypto exchanges or the government? ,0
24,They prolly doing a jaredfromsubway out there.. and overleverage themselves in other shits,0
25,Fr,0
26,This is why I have faith in @Shade_Protocol's private dex and the 6 other defi products that are live and earning fees with their meta engine (metamask compatible too) Trust teams and people. Don't trust too big to fail CEXs that seem to always fail,0
27,Who’s next ?,0
28,Still waiting for a surprise DM of the giveaway which will change mh life,0
29,Mind boggling and quite ridiculous at the same time.,0
30,Exactly sir,0
31,"Case in point... the longnggg saga continues... for Exchanges and apparently ‘just’ in the beginning stages for CZ and crew ⇣ Who’s next in line to fade/implode, within the exchange ‘niche’  ",0
32,Fr man,0
33,"Trading with user funds is the biggest mistake. If they don't do this, they will survive as long as they can pay their bills.",0
34,"Siphoning off more cash than the biz makes is bad, mmmmkay. ",0
35,#Greed,0
36,You thought we were degen gamblers? Meet exchange owners ,0
37,That's true and sad how they loot peoples in broad daylight,0
38,To much money ain’t enough money. (lil Wayne),0
39,Yes,0
40,Had the same thought,0
41,It’s crazy uno,0
42,they should do better and lower taxes for people,0
43,it will get fucked regardless,0
44,Everyone loved the good boy who wanted to save the world. ,0
45,Ngl i made most of my money when FTX crashed ,0
46,@ParrotCapital,0
47,@cz_binance locking some large investors out their accounts claiming ''source of funds '' check. Something is up with Binance,0
48,"They want cheaper prices so whatever gets there its fine. Don´t even measure the consequences of their desires, and not even think about if its deserved or not.",0
49,cz not a well connected jew,0
50,@NachoTrades Fud to keep as many people out as possible of the market before the big pumps,0
51,Just Adam things ,0
52,Those who are praying for CZ downfall are not crypto SUPPORTERS ,0
53,"I have no exposure to FTX or Binance, but it's probably because he initiated the entire house of cards explosion and now it's blowing back on him. In his effort to take over the industry, he's directly screwed himself. People that had money in FTX probably are just seeking blood",0
54,The PTSD is strong,0
55,Because they're totally sidelined waiting,0
56,Like wtf right. Cringe behaviour from them..,0
57,CZ is unfuckable.,0
58,"It's just like $USDT the hate keeps on growing more and more as Tether, Binance keep on succeeding and growing",0
59,CZ makes money counter trading his customers.,0
60,They desperately want an entry,0
61,Because their 12k fills never got filled.,0
62,Layers there,0
63,Wait till they reveal the saudi connection,0
64,because a lot of people feel they have missed a potential bottom and the only way for a real big dump to happen is for Binance to get fucked.,0
65,Everyone who got fucked in FTX wants Binance users to get fucked too lmao,0
66,Homies don't understand that if Binance gets fucked their coins gonna dump till hell .,0
67,Sam and cz are not the same lol.. people are just listening to the suits fud.,0
68,cos I DMed him with 69 threads to shill my coins but he ignored me,0
69,@NachoTrades Recency bias,0
70,"Because they were probably scamming retail traders aka crypto bro's. (Insider trading, fake volume, front running etc etc). BTC 100k would already be a reality if we all went DEX instead of CEX.",0
71,People just wanna blame someone from this price action,0
72,They are short BNB.,0
73,maybe time to long bnb.,0
